"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","up_down_width","initial",14,4,3,1.53234159998829,1.1,0.55,0.45,0.2,2.41429590003099,3.85,"exp2",-1,-0.1,-0.25,0.818181818181818,2.2,1.35,-0.85,-0.181818181818182,0.1
"p301","up_down_width","match",15,4,3,1.70166249998147,0.6,0.4,0.3,0.55,3.072509599966,2.2,"exp2",-1,-0.1,-0.25,0.75,1.6,0.9,-0.7,-0.25,0.1
"p301","up_down_width","match",16,4,3,1.3279739000136,0.733333333333333,0.55,0.45,0.45,2.20090629998595,2.75,"exp2",-1,-0.1,-0.25,0.818181818181818,2.2,1.35,-0.85,-0.181818181818182,0.1
"p301","up_down_width","initial",17,3,2,1.57931870000903,0.7,0.25,0.2,0.35,1.88285289995838,1.65,"exp2",-1,-0.05,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.05
"p301","up_down_width","initial",18,4,3,1.44239570002537,1.1,0.25,0.2,0.4,2.63261390000116,3.55,"exp2",-1,-0.0499999999999999,-0.25,0.8,1,0.6,-0.4,-0.2,0.0499999999999999
"p301","up_down_width","initial",19,3,2,1.20757139998022,0.9,0.55,0.4,0.35,1.4630733000231,2.35,"exp2",-1,-0.15,-0.333333333333333,0.727272727272727,1.65,0.8,-0.85,-0.272727272727273,0.15
"p301","up_down_width","match",20,4,4,1.9575248999754,0.783333333333333,0.25,0.2,0.4,2.10139590001199,2.6,"exp2",0,-0.0499999999999999,0,0.8,1,0.8,-0.2,-0.2,0.0499999999999999
"p301","up_down_width","initial",21,3,2,1.28503230004571,1.1,0.25,0.2,0.3,1.98437279998325,2.45,"exp2",-1,-0.05,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.05
"p301","up_down_width","match",22,5,4,3.66298890003236,0.675,0.55,0.45,0.5,1.46766069997102,3.25,"exp2",-1,-0.1,-0.2,0.818181818181818,2.75,1.8,-0.95,-0.181818181818182,0.1
"p301","up_down_width","initial",23,5,5,1.21814060001634,0.7,0.4,0.25,0.25,1.5828910000273,3.2,"exp2",0,-0.15,0,0.625,2,1.25,-0.75,-0.375,0.15
"p301","up_down_width","match",24,5,5,1.47923440003069,0.675,0.4,0.25,0.4,2.26752759999363,3.1,"exp2",0,-0.15,0,0.625,2,1.25,-0.75,-0.375,0.15
